EgKI-1  a member of the Kunitz type protease inhibitor family  is highly expressed by the oncosphere of the canine tapeworm Echinococcus granulosus  the stage that is infectious to humans and ungulates  giving rise to a hydatid cyst localized to the liver and other organs.,member;is;expressed;member;is highly expressed by;oncosphere of tapeworm Echinococcus;member;is highly expressed by;oncosphere of canine tapeworm Echinococcus;member;is expressed by;oncosphere of canine tapeworm Echinococcus;member;is highly expressed by;oncosphere;member;is expressed by;oncosphere of tapeworm Echinococcus;member;is expressed by;oncosphere;member;is;highly expressed;,8
Larval protoscoleces  which develop within the hydatid cyst  have been shown to possess anti-cancer properties  although the precise molecules involved have not been identified.,,0
We show that recombinant EgKI-1 inhibits the growth and migration of a range of human cancers including breast  melanoma and cervical cancer cell lines in a dose-dependent manner in vitro without affecting normal cell growth.,recombinant EgKI-1;affecting;normal cell growth;EgKI-1;inhibits migration in;manner;EgKI-1;inhibits migration in;dose-dependent manner;recombinant EgKI-1;affecting;cell growth;EgKI-1;inhibits;growth;EgKI-1;inhibits;migration;EgKI-1;inhibits growth in;manner;EgKI-1;inhibits growth in;dose-dependent manner;EgKI-1;affecting;cell growth;EgKI-1;affecting;normal cell growth;,10
Furthermore  EgKI-1 treatment arrested the cancer cell growth by disrupting the cell cycle and induced apoptosis of cancer cells in vitro.,EgKI-1 treatment;disrupting;cell cycle;EgKI-1 treatment;arrested;cancer cell growth;cell cycle;apoptosis of;cancer cells;EgKI-1 treatment;Furthermore arrested;cancer cell growth;cell cycle;induced apoptosis of;cancer cells;,5
An in vivo model of triple negative breast cancer (MDA-MB-231) in BALB/c nude mice showed significant tumor growth reduction in EgKI-1-treated mice compared with controls.,in model;showed;tumor growth reduction in EgKI-1-treated mice;in model;is in;BALB/c nude mice;model;showed;tumor growth reduction in mice;in model;showed;tumor growth reduction;significant tumor growth reduction;is in;EgKI-1-treated mice;in model;showed;significant tumor growth reduction;model;showed;significant tumor growth reduction in mice;in model;showed;significant tumor growth reduction in mice;model;showed;significant tumor growth reduction;model;showed;significant tumor growth reduction in EgKI-1-treated mice;in model;showed;significant tumor growth reduction in EgKI-1-treated mice;in model;showed;tumor growth reduction in mice;model;showed;tumor growth reduction in EgKI-1-treated mice;model;showed;tumor growth reduction;,14
These findings indicate that EgKI-1 shows promise for future development as an anti-cancer therapeutic.,EgKI-1;shows;promise for future development;EgKI-1;promise for;future development;EgKI-1;shows promise as;anti-cancer therapeutic;EgKI-1;shows;promise;EgKI-1;shows promise as;therapeutic;,5


Breast cancer and its treatment can have many physical and psychological effects on affected women.,,0
Women's personal goals may provide insight into their priorities and motivations in the context of breast cancer.,Women 's personal goals;may provide;insight into their priorities;Women 's personal goals;may provide;insight;Women 's personal goals;may provide insight in;context of breast cancer;Women 's goals;may provide insight in;context of breast cancer;Women 's goals;may provide;insight;Women 's personal goals;may provide insight in;context;Women;has;personal goals;Women 's goals;may provide insight in;context;Women 's goals;may provide;insight into their priorities;,9
Incorporating personal goal-setting into support and care interventions may have an effect on psychological well-being.,effect;Incorporating;personal goal-setting;effect;Incorporating goal-setting into;support;effect;Incorporating;goal-setting;,3
This protocol describes our scoping review methods  the aim of which is to examine and map the existing evidence on personal goal-setting among women with a breast cancer diagnosis.,aim;examine;evidence on goal-setting among women;aim;examine;evidence on personal goal-setting among women with breast cancer diagnosis;aim;examine;existing evidence on personal goal-setting;aim;examine;existing evidence on goal-setting among women with breast cancer diagnosis;aim;examine;evidence on personal goal-setting among women;aim;examine;existing evidence on personal goal-setting among women;aim;examine;evidence on goal-setting;aim;examine;existing evidence on goal-setting;aim;examine;existing evidence on goal-setting among women;aim;examine;existing evidence on personal goal-setting among women with breast cancer diagnosis;aim;examine;existing evidence;women;is with;breast cancer diagnosis;aim;examine;evidence on personal goal-setting;aim;examine;evidence on goal-setting among women with breast cancer diagnosis;aim;examine;evidence;,15
Our scoping review will search for published  full-length articles  where personal goal-setting is a major component of the study  and the study population is females with breast cancer.,goal-setting;is;major component;personal goal-setting;is;where component;goal-setting;is;where component;personal goal-setting;is;major component;females;is with;breast cancer;personal goal-setting;is;where major component of study;goal-setting;is;major;study population;is females with;breast cancer;personal goal-setting;is major component of;study;personal goal-setting;is;component;goal-setting;is;component;goal-setting;is component of;study;goal-setting;is;where component of study;personal goal-setting;is;where major component;study population;is;females;goal-setting;is;where major component of study;goal-setting;is major component of;study;personal goal-setting;is component of;study;goal-setting;is;where major component;personal goal-setting;is;where component of study;,20
MEDLINE  PsycInfo  CINAHL  EMBASE  the Cochrane Library  and AMED databases will be searched.,Cochrane Library;be;searched;,1
Two independent reviewers will conduct all screening and extract data.,,0
Descriptive information about the studies  participants  any interventions  measurement tools  outcomes  and results will be reported.,interventions measurement tools outcomes;information about;studies;interventions measurement tools outcomes;Descriptive information about;studies;,2
The results from this review will chart the literature  contributing to optimizing the incorporation of personal goal-setting approaches into effective interventions for the care and support of women with breast cancer.,literature;approaches into;interventions;literature;approaches into;effective interventions for care;literature;approaches into;interventions for care;women;is with;breast cancer;literature;approaches into;effective interventions;,5


Breast cancer is the most diagnosed diseases and the second-leading cause of death in females  among which the estrogen receptor positive (ER+) patients are more common of all cases.,Breast cancer;is;most diagnosed diseases;Breast cancer;second-leading cause of;death;Breast cancer;is;diagnosed diseases;estrogen receptor patients;are common of;cases;estrogen receptor patients;are more common of;cases;estrogen receptor positive patients;are common of;cases;second-leading cause;is in;females;Breast cancer;is;diseases;Breast cancer;cause of;death;estrogen receptor positive patients;are more common of;cases;,10
